insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('75e8d83e-e811-4b7e-8ee5-0d7cd7e7508f','6d986260-cab3-4f50-88c9-ffd415e429f0',83, 78.25, '14/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('f792601c-f49f-4b19-a29d-21ce1aa80104','e39e2931-8ec1-4013-919a-491e308fb66a',130, 69.49, '18/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('3fe18e26-0388-421f-97df-79b16963bba3','98dfb3e1-87ca-4ca9-93f1-ef5956400442',18, 61.66, '15/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('520f99dd-a369-420f-bf67-7c91c7d25482','b518442d-0eb3-4a45-a375-f2c3f8e812c1',167, 40.08, '18/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('93dd6ab1-c209-4335-8c72-dc95d6409c05','e6319644-7192-4f35-858a-1726e61ce37f',91, 33.82, '28/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('c10edcfe-0b50-4a44-b65f-f3c1efa04edf','bb42d930-8b14-4cc7-86bb-1fe221743b6b',46, 7.59, '01/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('19f567da-cf0f-4586-99f1-02289699a497','89510ac0-933c-4edd-a2ac-6f7ffde5e2db',156, 30.30, '23/04/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('abac17a1-8f99-4e95-b1ef-aab819c5184d','e50d932d-e67f-4675-9e88-0ee125bd655b',27, 73.56, '19/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('9d122f9b-f21f-4555-9e99-77fd8136a8d8','b8f06642-90e7-43e1-a721-fe534ba203bb',134, 35.95, '23/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('abcb135f-83f3-4304-88f3-dcc62e75740c','2991900a-6d5e-40a2-8eff-38f9ec8c7e2f',162, 39.73, '24/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('9822f78b-869f-4b2b-a3a6-8a6cfbfd8a8a','3c407de7-fff0-4df8-8a78-7342f56253f6',120, 53.24, '21/03/2019');
insert into transactions (cust_id, ticket_id, ticket_num, ticket_price, date) values ('188b5d4a-c7fe-4157-a11b-726d67b1f5d2','b8f06642-90e7-43e1-a721-fe534ba203bb',54, 35.95, '02/04/2019');
